seed,trial,snr,normalization_mode,tau,symbols,max_points,max_persistence,mean_persistence,persistence_entropy,normalized_entropy,h1_bar_count
0,0,25,physical_scale,2,1000,200,0.7682917689212965,0.05326280086174756,1.9371228654005872,0.5059556810875392,46
0,1,25,physical_scale,2,1000,200,1.0690041401548853,0.09247458331549728,1.6977665103624504,0.4486473127945581,44
0,2,25,physical_scale,2,1000,200,1.066028164165847,0.06736164252811282,1.7182731587489743,0.4462876067363746,47
0,3,25,physical_scale,2,1000,200,1.0709662255060213,0.09221403291544535,1.573327403623254,0.4325196255259553,38
0,4,25,physical_scale,2,1000,200,1.1256863366395153,0.09088155983285615,1.6840742156143793,0.45349172854721204,41
0,5,25,physical_scale,2,1000,200,0.6860855502177567,0.044485715598497136,1.675128436072617,0.4400517357591343,45
0,6,25,physical_scale,2,1000,200,1.1603020765288958,0.1233873872405057,1.618783179093218,0.4590520928853183,34
0,7,25,physical_scale,2,1000,200,0.9852440710139098,0.06410780452613998,1.9441676094693687,0.5077956925535494,46
0,8,25,physical_scale,2,1000,200,0.9756768546689751,0.07220725832371995,1.783179455993762,0.4902095449274225,38
0,9,25,physical_scale,2,1000,200,1.0216184675490414,0.050987795604975274,1.481981880916318,0.4045194332902659,39
0,0,20,physical_scale,2,1000,200,0.9053006884129952,0.05261999294001265,2.0037890702839936,0.5148719408387841,49
0,1,20,physical_scale,2,1000,200,0.9505854590447157,0.06982056620160568,2.055685060129948,0.5369228525855237,46
0,2,20,physical_scale,2,1000,200,0.924592778131669,0.055611081079201895,2.2408902219030713,0.538820201719355,64
0,3,20,physical_scale,2,1000,200,1.0036086754090934,0.07999437050179174,2.0929887432736636,0.5377917228834417,49
0,4,20,physical_scale,2,1000,200,0.9472558688232917,0.07084263223245299,2.0856307406446115,0.5545120377781395,43
0,5,20,physical_scale,2,1000,200,0.9928680279671898,0.07677921515431353,2.1449362314066813,0.5482933583034826,50
0,6,20,physical_scale,2,1000,200,0.9759833833112411,0.06636342352163656,2.2701623829578255,0.5665020296599396,55
0,7,20,physical_scale,2,1000,200,0.989365626741099,0.06213830209022559,2.0599657295320544,0.5239209268048652,51
0,8,20,physical_scale,2,1000,200,1.0775112393600996,0.06293837671049292,2.1585705101539636,0.5386551131082807,55
0,9,20,physical_scale,2,1000,200,0.8550400508931305,0.047766065853811386,2.05669964571107,0.5257381265031639,50
0,0,15,physical_scale,2,1000,200,0.6943548298739279,0.04113108727388164,2.8186567103141136,0.7205112818618584,50
0,1,15,physical_scale,2,1000,200,0.8402129994593661,0.04823084917329984,3.025616385322093,0.7302722660813052,63
0,2,15,physical_scale,2,1000,200,0.9547980566798426,0.07092684481498404,2.6624179877451817,0.6674426261589919,54
0,3,15,physical_scale,2,1000,200,0.8437988849818786,0.06885265857212008,2.318758439761684,0.6056347930333748,46
0,4,15,physical_scale,2,1000,200,0.7937771329643974,0.03764660933528672,2.678967604810488,0.6394244322659252,66
0,5,15,physical_scale,2,1000,200,0.8887726559861812,0.07032751635418223,2.4934374532478385,0.6065468159892724,61
0,6,15,physical_scale,2,1000,200,0.9462580989189207,0.047637296466825595,2.517211425663341,0.6030133916459249,65
0,7,15,physical_scale,2,1000,200,0.8602114770971782,0.07513220202213082,2.4230083428854488,0.6102846832533387,53
0,8,15,physical_scale,2,1000,200,0.8858989212812387,0.06293113251565155,2.491172024555897,0.6161613740530586,57
0,9,15,physical_scale,2,1000,200,0.9427469157208278,0.07704748517957459,2.2892275137841422,0.5822301718395273,51
0,0,10,physical_scale,2,1000,200,0.735952751348238,0.04864056069796872,3.34261374405284,0.7766178418933771,74
0,1,10,physical_scale,2,1000,200,0.5291046208329686,0.052454204467723864,3.5537004685233566,0.828279702271738,73
0,2,10,physical_scale,2,1000,200,0.4297426441189478,0.050143441036631514,3.5139978688866274,0.8481495536465808,63
0,3,10,physical_scale,2,1000,200,0.7969781193521247,0.06169775073803677,3.3727268174827794,0.7912221688633481,71
0,4,10,physical_scale,2,1000,200,0.8226759043011208,0.06347543979816671,3.1262911237003053,0.7435242969444784,67
0,5,10,physical_scale,2,1000,200,0.15586423068468092,0.0320707867664701,3.941035839952172,0.9072772505243494,77
0,6,10,physical_scale,2,1000,200,0.6043377796896235,0.052207463483370006,3.440567559220552,0.794453800056199,76
0,7,10,physical_scale,2,1000,200,0.6012292663999712,0.05511291544814084,3.591454949894882,0.8318389895816625,75
0,8,10,physical_scale,2,1000,200,0.6776933152398124,0.05893668444151512,3.246188733081184,0.7666762112754071,69
0,9,10,physical_scale,2,1000,200,0.8444995461433213,0.05521798847512243,3.3986132864085894,0.7871737447876606,75
0,0,5,physical_scale,2,1000,200,0.3825283184253867,0.07234543978565872,4.142813215528114,0.9118521720613968,94
0,1,5,physical_scale,2,1000,200,0.4887691984987639,0.07122544878364716,3.783873490095738,0.8876747959600682,71
0,2,5,physical_scale,2,1000,200,0.4386999028949441,0.06460857678682788,3.9164610834571096,0.9099446682720804,74
0,3,5,physical_scale,2,1000,200,0.4810152818253035,0.07546744325008295,3.8580195201337997,0.8684047649469622,85
0,4,5,physical_scale,2,1000,200,0.45626733611182013,0.07553102909804109,4.0224001188471705,0.8961296455135234,89
0,5,5,physical_scale,2,1000,200,0.4034191847197859,0.07344158085888174,3.9510967729774182,0.9042553902426369,79
0,6,5,physical_scale,2,1000,200,0.5785110166107683,0.07535798296221445,3.968276288206408,0.8908771643253037,86
0,7,5,physical_scale,2,1000,200,0.45394271610587744,0.07588530156283593,3.8883915846455475,0.887350057135134,80
0,8,5,physical_scale,2,1000,200,0.3836940169940173,0.06709111299409173,3.9876425219352893,0.9049005162765629,82
0,9,5,physical_scale,2,1000,200,0.3904376578813771,0.07108363818139828,4.017040577676355,0.9090711646373243,83
0,0,0,physical_scale,2,1000,200,0.3934544743428676,0.09504740155430169,4.291350934938474,0.9202116395937535,106
0,1,0,physical_scale,2,1000,200,0.3317585111768321,0.10656594252350646,4.293626555825015,0.934388371981039,99
0,2,0,physical_scale,2,1000,200,0.46834198723551035,0.12615616302173732,4.375711386934808,0.9345554779809928,108
0,3,0,physical_scale,2,1000,200,0.603274244150706,0.10779244041200263,4.236365418439675,0.9159762855841224,102
0,4,0,physical_scale,2,1000,200,0.4238248291816087,0.1089885811570478,4.203421320745304,0.9273754116362598,93
0,5,0,physical_scale,2,1000,200,0.34667655583791035,0.10056967541375701,4.2547248542232134,0.9343082730389347,95
0,6,0,physical_scale,2,1000,200,0.417526801547458,0.11676857722728548,4.201077175814498,0.9246763366993059,94
0,7,0,physical_scale,2,1000,200,0.38647579063949666,0.10246789140715155,4.192626696557369,0.922816347492771,94
0,8,0,physical_scale,2,1000,200,0.6879416001049234,0.10373885106823764,4.315600719444269,0.9146130659685332,112
0,9,0,physical_scale,2,1000,200,0.3408462107592576,0.0984469557756313,4.277322880118935,0.9190716203618193,105
0,0,-5,physical_scale,2,1000,200,0.6558912886630217,0.17121753012614307,4.316981373297655,0.9314420291372089,103
0,1,-5,physical_scale,2,1000,200,0.604597829200979,0.1680066968123003,4.36801008874075,0.9385576498503915,105
0,2,-5,physical_scale,2,1000,200,0.7114076500016315,0.1886407582484797,4.416137501431548,0.9488988236184853,105
0,3,-5,physical_scale,2,1000,200,0.6960184915183838,0.14905099775831687,4.315008432336804,0.919780101723448,109
0,4,-5,physical_scale,2,1000,200,0.5032403954327802,0.17617788475192597,4.4312405395374865,0.9373549853467449,113
0,5,-5,physical_scale,2,1000,200,0.6819180703760095,0.18763029173550244,4.341248227037515,0.9309113166115236,106
0,6,-5,physical_scale,2,1000,200,0.5929472519046728,0.16029637841929595,4.452758449052641,0.9367148344809868,116
0,7,-5,physical_scale,2,1000,200,0.8315878822667353,0.17794252716051542,4.335168477111389,0.9222820094432109,110
0,8,-5,physical_scale,2,1000,200,0.6716575267131144,0.16144639367609917,4.319056414762559,0.9206429630007131,109
0,9,-5,physical_scale,2,1000,200,0.5466480757763736,0.15501744170218595,4.397433021152575,0.937349591534254,109
1,0,30,shape_normalized,2,1000,200,1.0894426478000603,0.06208932090500226,1.3372069663518291,0.35552667372638563,43
1,1,30,shape_normalized,2,1000,200,1.080416557859054,0.129718322118725,1.5419125304083008,0.44901522300211305,31
1,2,30,shape_normalized,2,1000,200,1.1087534971201785,0.1449689482790425,1.4512078509151032,0.4508430675403653,25
1,3,30,shape_normalized,2,1000,200,0.7624054953410648,0.04283321107612677,1.4959215975614462,0.405521952172537,40
1,4,30,shape_normalized,2,1000,200,1.0644583986986589,0.046869078437849286,1.4079522986876547,0.37206177144717234,44
1,5,30,shape_normalized,2,1000,200,0.7147779417624358,0.07593964441637088,1.6465461269281052,0.4889817260085281,29
1,6,30,shape_normalized,2,1000,200,1.0702801144934009,0.10346730022884841,1.479553776930231,0.416148785250132,35
1,7,30,shape_normalized,2,1000,200,1.1023291229752008,0.07950307120401465,1.5467612808376698,0.4087430679936903,44
